,date,entry,type,amount,state,district,block,gp,N_vil
250,2015-09-28,Receipt,Direct Receipts,570,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
251,2015-09-28,Payment,Expenditures,"1,700",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
252,2015-10-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
253,2015-10-07,Receipt,Direct Receipts,"5,150",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
254,2015-10-20,Payment,Expenditures,300,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
255,2015-10-20,Payment,Expenditures,"3,591",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
256,2015-10-20,Receipt,Direct Receipts,"1,795",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
257,2015-10-20,Payment,Expenditures,"1,700",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
258,2015-10-31,Payment,Expenditures,950,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
259,2015-11-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
260,2015-11-04,Payment,Expenditures,"3,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
261,2015-11-07,Payment,Expenditures,"6,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
262,2015-11-07,Payment,Expenditures,"6,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
263,2015-11-07,Payment,Expenditures,"2,400",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
264,2015-11-07,Payment,Expenditures,"2,400",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
265,2015-11-27,Payment,Expenditures,"20,160",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
266,2015-11-27,Payment,Expenditures,"20,160",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
267,2015-12-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
268,2015-12-23,Receipt,Direct Receipts,"4,130",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
269,2015-12-23,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
270,2015-12-25,Receipt,Direct Receipts,"15,853",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
271,2015-12-28,Payment,Expenditures,"4,323",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
272,2016-01-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
273,2016-01-08,Payment,Expenditures,"1,369",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
274,2016-01-12,Receipt,Direct Receipts,"4,620",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
275,2016-01-12,Receipt,Direct Receipts,875,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
276,2016-01-12,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
277,2016-01-12,Receipt,Direct Receipts,"10,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
278,2016-01-12,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
279,2016-01-12,Receipt,Direct Receipts,"13,256",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
280,2016-01-19,Payment,Expenditures,"3,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
281,2016-01-19,Payment,Expenditures,"1,484",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
282,2016-01-19,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
283,2016-01-21,Payment,Expenditures,"4,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
284,2016-01-21,Payment,Expenditures,"1,800",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
285,2016-01-21,Payment,Expenditures,"4,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
286,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
287,2016-01-21,Payment,Expenditures,"4,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
288,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
289,2016-01-21,Payment,Expenditures,"4,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
290,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
291,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
292,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
293,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
294,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
295,2016-01-21,Payment,Expenditures,"1,800",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
296,2016-01-21,Payment,Expenditures,"4,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
297,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
298,2016-01-29,Receipt,Direct Receipts,"299,600",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
299,2016-02-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
300,2016-02-04,Receipt,Direct Receipts,"41,278",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
301,2016-02-05,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
302,2016-02-05,Payment,Expenditures,"1,694",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
303,2016-02-05,Receipt,Direct Receipts,"4,620",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
304,2016-02-24,Receipt,Direct Receipts,"740,692",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
305,2016-03-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
306,2016-03-03,Receipt,Direct Receipts,313,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
307,2016-03-03,Payment,Expenditures,"3,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
308,2016-03-03,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
309,2016-03-03,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
310,2016-03-03,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
311,2016-03-04,Receipt,Direct Receipts,"3,675",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
312,2016-03-04,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
313,2016-03-16,Payment,Expenditures,"1,705",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
314,2016-03-16,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
315,2016-03-19,Receipt,Direct Receipts,280,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
316,2016-03-20,Receipt,Direct Receipts,"7,105",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
317,2016-03-20,Receipt,Direct Receipts,"1,625",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
318,2016-03-29,Receipt,Direct Receipts,550,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
319,2016-03-29,Payment,Expenditures,720,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
320,2016-03-29,Payment,Expenditures,"1,735",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
321,2016-03-29,Receipt,Direct Receipts,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
322,2016-03-29,Receipt,Direct Receipts,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
323,2016-03-29,Receipt,Direct Receipts,"3,500",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
324,2016-03-29,Receipt,Direct Receipts,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
325,2016-03-29,Receipt,Direct Receipts,700,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
326,2016-03-29,Payment,Expenditures,"1,100",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
327,2016-03-29,Receipt,Direct Receipts,600,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
328,2016-03-29,Receipt,Direct Receipts,"5,860",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
329,2016-03-29,Receipt,Direct Receipts,"10,300",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
330,2016-03-29,Payment,Expenditures,900,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
331,2016-03-29,Receipt,Direct Receipts,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
332,2016-03-31,Payment,Expenditures,800,ODISHA,ANUGUL,ANUGUL,BADAKANTAKUL,9
333,2015-04-01,Opening Balance,Balance,"431,648",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
334,2015-04-02,Payment,Expenditures,200,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
335,2015-04-05,Receipt,Direct Receipts,"7,900",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
336,2015-04-05,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
337,2015-04-09,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
338,2015-04-09,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
339,2015-04-25,Payment,Expenditures,"5,844",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
340,2015-05-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
341,2015-05-04,Receipt,Direct Receipts,755,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
342,2015-05-05,Receipt,Direct Receipts,"4,415",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
343,2015-05-06,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
344,2015-05-06,Receipt,Direct Receipts,"2,765",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
345,2015-05-08,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
346,2015-05-11,Payment,Expenditures,"1,700",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
347,2015-05-11,Receipt,Direct Receipts,"127,730",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
348,2015-05-27,Payment,Expenditures,"5,828",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
349,2015-06-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
350,2015-06-05,Receipt,Direct Receipts,"4,415",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
351,2015-06-06,Receipt,Direct Receipts,"2,765",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
352,2015-06-06,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
353,2015-06-09,Receipt,Direct Receipts,"180,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
354,2015-06-23,Payment,Expenditures,307,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
355,2015-06-23,Receipt,Direct Receipts,800,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
356,2015-06-24,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
357,2015-06-25,Receipt,Direct Receipts,822,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
358,2015-06-25,Receipt,Direct Receipts,"3,778",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
359,2015-06-27,Payment,Expenditures,"5,789",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
360,2015-06-30,Payment,Expenditures,780,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
361,2015-07-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
362,2015-07-05,Receipt,Direct Receipts,"4,415",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
363,2015-07-06,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
364,2015-07-06,Receipt,Direct Receipts,"2,765",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
365,2015-07-13,Receipt,Direct Receipts,"25,200",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
366,2015-07-21,Payment,Expenditures,211,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
367,2015-07-23,Payment,Expenditures,"5,806",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
368,2015-08-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
369,2015-08-04,Receipt,Direct Receipts,200,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
370,2015-08-04,Payment,Expenditures,555,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
371,2015-08-05,Payment,Expenditures,"1,250",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
372,2015-08-05,Payment,Expenditures,"3,750",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
373,2015-08-05,Payment,Expenditures,"3,750",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
374,2015-08-05,Payment,Expenditures,"3,750",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
375,2015-08-05,Receipt,Direct Receipts,"3,790",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
376,2015-08-06,Receipt,Direct Receipts,"3,150",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
377,2015-08-10,Receipt,Direct Receipts,"741,196",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
378,2015-08-15,Payment,Expenditures,100,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
379,2015-08-22,Receipt,Direct Receipts,200,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
380,2015-08-22,Receipt,Direct Receipts,"275,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
381,2015-08-22,Payment,Expenditures,267,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
382,2015-08-24,Payment,Expenditures,"5,806",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
383,2015-08-25,Payment,Expenditures,"1,750",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
384,2015-08-25,Receipt,Direct Receipts,20,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
385,2015-09-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
386,2015-09-01,Payment,Expenditures,150,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
387,2015-09-05,Receipt,Direct Receipts,"7,365",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
388,2015-09-07,Receipt,Direct Receipts,"34,560",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
389,2015-09-08,Receipt,Direct Receipts,"7,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
390,2015-09-24,Receipt,Direct Receipts,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
391,2015-09-24,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
392,2015-09-24,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
393,2015-09-24,Payment,Expenditures,"5,813",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
394,2015-09-28,Receipt,Direct Receipts,500,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
395,2015-09-28,Payment,Expenditures,567,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
396,2015-09-28,Receipt,Direct Receipts,400,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
397,2015-10-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
398,2015-10-01,Receipt,Direct Receipts,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
399,2015-10-01,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
400,2015-10-01,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
401,2015-10-03,Receipt,Direct Receipts,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
402,2015-10-03,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
403,2015-10-03,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
404,2015-10-05,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
405,2015-10-05,Receipt,Direct Receipts,"7,215",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
406,2015-10-05,Payment,Expenditures,150,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
407,2015-10-06,Payment,Expenditures,"4,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
408,2015-10-06,Receipt,Direct Receipts,"4,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
409,2015-10-22,Payment,Expenditures,"3,600",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
410,2015-10-22,Payment,Expenditures,"8,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
411,2015-10-22,Payment,Expenditures,"9,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
412,2015-10-22,Payment,Expenditures,"20,160",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
413,2015-10-22,Payment,Expenditures,800,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
414,2015-10-23,Payment,Expenditures,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
415,2015-10-23,Receipt,Direct Receipts,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
416,2015-10-23,Payment,Expenditures,"1,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
417,2015-10-23,Payment,Expenditures,350,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
418,2015-10-31,Payment,Expenditures,435,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
419,2015-11-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
420,2015-11-03,Receipt,Direct Receipts,"3,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
421,2015-11-03,Payment,Expenditures,"3,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
422,2015-11-03,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
423,2015-11-04,Receipt,Direct Receipts,"3,451",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
424,2015-11-04,Payment,Expenditures,500,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
425,2015-11-05,Receipt,Direct Receipts,"4,080",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
426,2015-11-30,Payment,Expenditures,206,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
427,2015-12-01,Payment,Expenditures,"1,600",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
428,2015-12-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
429,2015-12-01,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
430,2015-12-10,Payment,Expenditures,"4,300",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
431,2015-12-23,Receipt,Direct Receipts,"10,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
432,2015-12-25,Receipt,Direct Receipts,"6,189",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
433,2016-01-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
434,2016-01-16,Receipt,Direct Receipts,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
435,2016-01-16,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
436,2016-01-16,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
437,2016-01-21,Receipt,Direct Receipts,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
438,2016-01-21,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
439,2016-01-22,Receipt,Direct Receipts,"15,714",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
440,2016-01-22,Receipt,Direct Receipts,"1,774",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
441,2016-01-26,Payment,Expenditures,700,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
442,2016-01-27,Receipt,Direct Receipts,19,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
443,2016-01-27,Receipt,Direct Receipts,"3,585",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
444,2016-01-27,Payment,Expenditures,30,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
445,2016-01-27,Receipt,Direct Receipts,271,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
446,2016-01-29,Receipt,Direct Receipts,"299,600",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
447,2016-01-31,Payment,Expenditures,167,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
448,2016-02-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
449,2016-02-03,Payment,Expenditures,"5,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
450,2016-02-03,Payment,Expenditures,"5,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
451,2016-02-03,Payment,Expenditures,"5,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
452,2016-02-03,Payment,Expenditures,"11,600",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
453,2016-02-03,Payment,Expenditures,350,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
454,2016-02-04,Receipt,Direct Receipts,"41,278",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
455,2016-02-16,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
456,2016-02-18,Receipt,Direct Receipts,300,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
457,2016-02-18,Payment,Expenditures,"180,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
458,2016-02-19,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
459,2016-02-20,Receipt,Direct Receipts,"1,000,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
460,2016-02-24,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
461,2016-02-24,Receipt,Direct Receipts,"2,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
462,2016-02-24,Receipt,Direct Receipts,"740,692",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
463,2016-02-29,Payment,Expenditures,"10,675",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
464,2016-03-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
465,2016-03-03,Payment,Expenditures,"2,400",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
466,2016-03-03,Payment,Expenditures,695,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
467,2016-03-04,Receipt,Direct Receipts,"59,760",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
468,2016-03-04,Payment,Expenditures,"10,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
469,2016-03-04,Payment,Expenditures,"59,760",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
470,2016-03-08,Payment,Expenditures,215,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
471,2016-03-08,Payment,Expenditures,"1,800",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
472,2016-03-08,Payment,Expenditures,"4,280",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
473,2016-03-08,Receipt,Direct Receipts,300,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
474,2016-03-11,Receipt,Direct Receipts,300,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
475,2016-03-11,Payment,Expenditures,390,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
476,2016-03-14,Payment,Expenditures,"1,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
477,2016-03-14,Payment,Expenditures,"5,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
478,2016-03-17,Payment,Expenditures,"14,400",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
479,2016-03-22,Payment,Expenditures,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
480,2016-03-22,Receipt,Direct Receipts,400,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
481,2016-03-22,Receipt,Direct Receipts,"2,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
482,2016-03-28,Payment,Expenditures,"1,142",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
483,2016-03-28,Receipt,Direct Receipts,"2,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
484,2016-03-28,Receipt,Direct Receipts,"2,500",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
485,2016-03-28,Payment,Expenditures,"9,000",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
486,2016-03-28,Payment,Expenditures,"3,600",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
487,2016-03-28,Payment,Expenditures,88,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
488,2016-03-28,Payment,Expenditures,145,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
489,2016-03-28,Payment,Expenditures,"1,955",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
490,2016-03-28,Payment,Expenditures,700,ODISHA,ANUGUL,ANUGUL,BADAKERA,8
491,2016-03-29,Receipt,Direct Receipts,"3,676",ODISHA,ANUGUL,ANUGUL,BADAKERA,8
492,2015-04-01,Opening Balance,Balance,"502,156",ODISHA,ANUGUL,ANUGUL,BALANGA,7
493,2015-04-07,Receipt,Direct Receipts,"3,040",ODISHA,ANUGUL,ANUGUL,BALANGA,7
494,2015-04-07,Payment,Expenditures,750,ODISHA,ANUGUL,ANUGUL,BALANGA,7
495,2015-04-28,Payment,Expenditures,"2,262",ODISHA,ANUGUL,ANUGUL,BALANGA,7
496,2015-05-01,Opening Balance,Balance,0,ODISHA,ANUGUL,ANUGUL,BALANGA,7
497,2015-05-06,Receipt,Direct Receipts,"3,040",ODISHA,ANUGUL,ANUGUL,BALANGA,7
498,2015-05-06,Payment,Expenditures,750,ODISHA,ANUGUL,ANUGUL,BALANGA,7
499,2015-05-19,Receipt,Direct Receipts,"4,000",ODISHA,ANUGUL,ANUGUL,BALANGA,7
500,2015-05-19,Payment,Expenditures,"4,000",ODISHA,ANUGUL,ANUGUL,BALANGA,7
501,2015-05-19,Receipt,Direct Receipts,800,ODISHA,ANUGUL,ANUGUL,BALANGA,7
502,2015-05-19,Receipt,Direct Receipts,400,ODISHA,ANUGUL,ANUGUL,BALANGA,7
503,2015-05-19,Receipt,Direct Receipts,750,ODISHA,ANUGUL,ANUGUL,BALANGA,7
504,2015-05-19,Receipt,Direct Receipts,"2,500",ODISHA,ANUGUL,ANUGUL,BALANGA,7
505,2015-05-19,Payment,Expenditures,450,ODISHA,ANUGUL,ANUGUL,BALANGA,7
